email,client_name,is_primary,notes
hr@acme.com,Acme Corp,true,Primary HR domain
support@acme.com,Acme Corp,false,Support email domain
billing@acme.com,Acme Corp,false,Finance department
info@widgets.com,Widget Industries,true,Main company domain
support@widgets.com,Widget Industries,false,Support team
hr@techstart.io,TechStart Inc,true,HR department
admin@techstart.io,TechStart Inc,false,Admin team
info@globalcorp.com,Global Corp,true,Main contact
sales@globalcorp.com,Global Corp,false,Sales team
support@globalcorp.com,Global Corp,false,Support department
